ticker,price_date,close_price,daily_return_pct,ma_7d,ma_30d,ma_90d,volatility_30d_annualized
AAPL,2024-08-01,216.6841583251953,-1.6751,217.8296,222.4248,212.5379,15.7519
AAPL,2024-08-01,216.6841583251953,0.0,217.8466,222.1201,212.8507,15.7519
AAPL,2024-08-02,218.17263793945312,0.6869,218.0762,221.7669,213.1767,15.3585
AAPL,2024-08-02,218.17263793945312,0.0,218.2265,221.4136,213.5028,15.3585
AAPL,2024-08-05,207.6639404296875,-4.8167,216.8755,220.5824,213.701,19.5862
AAPL,2024-08-05,207.6639404296875,0.0,215.0596,219.7511,213.8993,19.5862
AAPL,2024-08-06,205.6396026611328,-0.9748,212.9544,218.8385,214.0644,19.5907
AAPL,2024-08-06,205.6395721435547,-0.0,211.3766,217.9259,214.2296,19.5907
AAPL,2024-08-07,208.209716796875,1.2498,210.166,217.2954,214.4037,19.0904
AAPL,2024-08-07,208.209716796875,0.0,208.7427,216.665,214.5778,19.0904
AAPL,2024-08-08,211.67291259765625,1.6633,207.8142,216.3054,214.7868,19.133
AAPL,2024-08-08,211.67291259765625,0.0,208.3869,215.9459,214.9959,19.133
AAPL,2024-08-09,214.58042907714844,1.3736,209.375,215.6789,215.2205,19.6356
AAPL,2024-08-09,214.58045959472656,0.0,210.6522,215.412,215.4451,19.6356
AAPL,2024-08-12,216.11041259765625,0.713,212.1481,215.2076,215.702,19.7807
AAPL,2024-08-12,216.1103973388672,-0.0,213.2767,215.0033,215.9589,19.7807
AAPL,2024-08-13,219.82598876953125,1.7193,214.9362,214.888,216.2306,20.4073
AAPL,2024-08-13,219.8259735107422,-0.0,216.1009,214.7728,216.5022,20.4073
AAPL,2024-08-14,220.27305603027344,0.2034,217.3295,214.8865,216.8204,18.5627
AAPL,2024-08-14,220.27305603027344,0.0,218.1428,215.0002,217.1385,18.5627
AAPL,2024-08-15,223.25347900390625,1.3531,219.3818,215.2479,217.3351,18.8582
AAPL,2024-08-15,223.2534637451172,-0.0,220.4022,215.4957,217.5317,18.8582
AAPL,2024-08-16,224.5747985839844,0.5919,221.6114,215.7719,217.6777,18.9063
AAPL,2024-08-16,224.5747985839844,0.0,222.2898,216.0482,217.8237,18.9063
AAPL,2024-08-19,224.4158172607422,-0.0708,222.9455,216.3099,217.955,18.9154
AAPL,2024-08-19,224.41583251953125,0.0,223.5373,216.5716,218.0864,18.9154
AAPL,2024-08-20,225.0317840576172,0.2745,224.2171,216.8353,218.2439,18.9166
AAPL,2024-08-20,225.0317840576172,0.0,224.4712,217.099,218.4013,18.9166
AAPL,2024-08-21,224.9224853515625,-0.0486,224.7096,217.2505,218.5115,18.4671
AAPL,2024-08-21,224.92250061035156,0.0,224.7593,217.4021,218.6217,18.4671
AAPL,2024-08-22,223.0647125244141,-0.826,224.5436,217.6148,218.7374,17.9239
AAPL,2024-08-22,223.064697265625,-0.0,224.3505,217.8275,218.8532,17.9239
AAPL,2024-08-23,225.3596343994141,1.0288,224.4854,218.067,219.0453,18.0477
AAPL,2024-08-23,225.359619140625,-0.0,224.5322,218.3066,219.2374,18.0477
AAPL,2024-08-26,225.69741821289065,0.1499,224.6273,218.9077,219.4574,10.3578
AAPL,2024-08-26,225.69740295410156,-0.0,224.738,219.5088,219.6774,10.3578
AAPL,2024-08-27,226.5418701171875,0.3742,224.9693,220.2056,219.8996,9.6515
AAPL,2024-08-27,226.54185485839844,-0.0,225.4661,220.9023,220.1218,9.6515
AAPL,2024-08-28,225.0119171142578,-0.6753,225.7442,221.4624,220.3168,9.6613
AAPL,2024-08-28,225.01190185546875,-0.0,225.6946,222.0224,220.5118,9.6613
AAPL,2024-08-29,228.29039001464844,1.457,226.1133,222.5764,220.6971,9.4165
AAPL,2024-08-29,228.29039001464844,0.0,226.4837,223.1303,220.8824,9.4165
AAPL,2024-08-30,227.50552368164065,-0.3438,226.742,223.5611,221.0496,8.9458
AAPL,2024-08-30,227.5055389404297,0.0,226.8796,223.9919,221.2168,8.9458
AAPL,2024-09-03,221.31619262695312,-2.7205,226.1331,224.1655,221.3536,12.1755
AAPL,2024-09-03,221.31619262695312,0.0,225.6052,224.339,221.4904,12.1755
AAPL,2024-09-04,219.40872192382812,-0.8619,224.8047,224.3251,221.5384,11.4356
AAPL,2024-09-04,219.4087371826172,0.0,223.5359,224.3112,221.5864,11.4356
AAPL,2024-09-05,220.92874145507812,0.6928,222.4842,224.333,221.6125,11.5994
AAPL,2024-09-05,220.92872619628903,-0.0,221.5447,224.3549,221.6386,11.5994
AAPL,2024-09-06,219.37890625,-0.7015,220.3837,224.2257,221.6334,11.0515
AAPL,2024-09-06,219.37892150878903,0.0,220.107,224.0966,221.6282,11.0515
AAPL,2024-09-09,219.4683532714844,0.0408,219.843,223.9264,221.5711,10.885
AAPL,2024-09-09,219.4683380126953,-0.0,219.8515,223.7562,221.5141,10.885
AAPL,2024-09-10,218.67355346679688,-0.3621,219.7465,223.5648,221.4319,10.9168
AAPL,2024-09-10,218.6735382080078,-0.0,219.4243,223.3733,221.3497,10.9168
AAPL,2024-09-11,221.2069091796875,1.1585,219.4641,223.2458,221.2861,11.4565
AAPL,2024-09-11,221.20689392089844,-0.0,219.7252,223.1184,221.2226,11.4565
AAPL,2024-09-12,221.31619262695312,0.0494,220.002,222.9981,221.1129,11.4604
AAPL,2024-09-12,221.31619262695312,0.0,220.2659,222.8779,221.0031,11.4604
AAPL,2024-09-13,221.04795837402344,-0.1212,220.4916,222.8107,220.9501,11.2261
AAPL,2024-09-13,221.04795837402344,0.0,220.8308,222.7435,220.897,11.2261
AAPL,2024-09-16,214.9082946777344,-2.7775,220.2929,222.3951,220.743,13.3352
AAPL,2024-09-16,214.9082946777344,0.0,219.3931,222.0467,220.589,13.3352
AAPL,2024-09-17,215.3751983642578,0.2173,218.56,221.7027,220.3976,13.35
AAPL,2024-09-17,215.3752288818359,0.0,217.7113,221.3586,220.2062,13.35
AAPL,2024-09-18,219.2497711181641,1.799,217.4161,221.1155,220.0532,14.4331
AAPL,2024-09-18,219.2497711181641,0.0,217.1592,220.8724,219.9002,14.4331
AAPL,2024-09-19,227.3763732910156,3.7065,218.0633,220.9513,219.903,18.06
AAPL,2024-09-19,227.37640380859375,0.0,219.8444,221.0301,219.9058,18.06
AAPL,2024-09-20,226.71075439453125,-0.2928,221.5305,220.9774,219.9531,17.5734
AAPL,2024-09-20,226.7107696533203,0.0,223.1499,220.9248,220.0003,17.5734
AAPL,2024-09-23,224.99203491210935,-0.7581,224.5237,220.841,220.027,17.681
AAPL,2024-09-23,224.99205017089844,0.0,225.344,220.7572,220.0537,17.681
AAPL,2024-09-24,225.8861846923828,0.3974,226.2921,220.9095,220.0942,15.7653
AAPL,2024-09-24,225.88616943359375,-0.0,226.0792,221.0619,220.1347,15.7653
AAPL,2024-09-25,224.8927001953125,-0.4398,225.7244,221.2447,220.1526,15.5943
AAPL,2024-09-25,224.8927001953125,0.0,225.4647,221.4275,220.1705,15.5943
AAPL,2024-09-26,226.0352020263672,0.508,225.3681,221.5977,220.2724,15.541
AAPL,2024-09-26,226.0352020263672,0.0,225.5172,221.7679,220.3743,15.541
AAPL,2024-09-27,226.30343627929688,0.1187,225.7045,221.9987,220.4908,15.3631
AAPL,2024-09-27,226.3034210205078,-0.0,225.7641,222.2295,220.6073,15.3631
AAPL,2024-09-30,231.47943115234375,2.2872,226.5632,222.6299,220.7761,16.6067
AAPL,2024-09-30,231.4794464111328,0.0,227.5041,223.0303,220.9449,16.6067
AAPL,2024-10-01,224.73374938964844,-2.9142,227.4814,223.2323,221.0356,18.8328
AAPL,2024-10-01,224.7337646484375,0.0,227.2955,223.4343,221.1264,18.8328
AAPL,2024-10-02,225.3000030517578,0.252,227.1905,223.5707,221.2173,18.5706
AAPL,2024-10-02,225.3000335693359,0.0,227.0471,223.7072,221.3082,18.5706
AAPL,2024-10-03,224.19725036621097,-0.4895,226.7462,223.8032,221.3506,18.6408
AAPL,2024-10-03,224.197265625,0.0,225.7059,223.8992,221.3931,18.6408
AAPL,2024-10-04,225.3199157714844,0.5007,224.826,224.0416,221.489,18.6783
AAPL,2024-10-04,225.31988525390625,-0.0,224.9097,224.184,221.585,18.6783
AAPL,2024-10-07,220.2432556152344,-2.2531,224.2682,224.3619,221.608,18.0342
AAPL,2024-10-07,220.2432403564453,-0.0,223.5458,224.5397,221.631,18.0342
AAPL,2024-10-08,224.296630859375,1.8404,223.4025,224.8371,221.8158,18.7353
AAPL,2024-10-08,224.296630859375,0.0,223.4167,225.1344,222.0006,18.7353
AAPL,2024-10-09,228.04200744628903,1.6698,223.9659,225.4275,222.2495,18.6395
AAPL,2024-10-09,228.04200744628903,0.0,224.3548,225.7206,222.4984,18.6395
AAPL,2024-10-10,227.54527282714844,-0.2178,224.6727,225.7262,222.7133,15.2774
AAPL,2024-10-10,227.54525756835935,-0.0,225.7159,225.7319,222.9281,15.2774
AAPL,2024-10-11,226.0649871826172,-0.6505,226.5475,225.7103,223.088,15.3733
AAPL,2024-10-11,226.06500244140625,0.0,226.8002,225.6888,223.2479,15.3733
AAPL,2024-10-14,229.79049682617188,1.648,227.585,225.8488,223.4169,15.9209
AAPL,2024-10-14,229.79052734375,0.0,227.8348,226.0087,223.586,15.9209
AAPL,2024-10-15,232.32388305664065,1.1025,228.4465,226.2233,223.7661,16.174
AAPL,2024-10-15,232.3238983154297,0.0,229.1292,226.4379,223.9463,16.174
AAPL,2024-10-16,230.2673797607422,-0.8852,229.518,226.617,224.0623,16.3534
AAPL,2024-10-16,230.26739501953125,0.0,230.1184,226.7962,224.1783,16.3534
AAPL,2024-10-17,230.63497924804688,0.1596,230.7712,226.9495,224.2934,16.306
AAPL,2024-10-17,230.63497924804688,0.0,230.8919,227.1028,224.4085,16.306
AAPL,2024-10-18,233.4663848876953,1.2277,231.417,227.3416,224.522,16.6466
AAPL,2024-10-18,233.4663848876953,0.0,231.5802,227.5804,224.6355,16.6466
AAPL,2024-10-21,234.93670654296875,0.6298,231.9535,227.6956,224.7506,15.4094
AAPL,2024-10-21,234.9367218017578,0.0,232.6205,227.8109,224.8658,15.4094
AAPL,2024-10-22,234.32077026367188,-0.2622,233.1996,228.1304,224.9758,12.6382
AAPL,2024-10-22,234.32077026367188,0.0,233.7261,228.45,225.0859,12.6382
AAPL,2024-10-23,229.25404357910156,-2.1623,233.5288,228.5818,225.1328,14.2859
AAPL,2024-10-23,229.25404357910156,0.0,232.9271,228.7136,225.1797,14.2859
AAPL,2024-10-24,229.0653076171875,-0.0823,232.2983,228.8759,225.2257,14.1978
AAPL,2024-10-24,229.0653076171875,0.0,231.4596,229.0381,225.2718,14.1978
AAPL,2024-10-25,229.8998260498047,0.3643,230.74,229.1908,225.3477,14.1678
AAPL,2024-10-25,229.8998260498047,0.0,230.1084,229.3435,225.4237,14.1678
AAPL,2024-10-28,231.8768310546875,0.8599,229.7593,229.7313,225.4961,12.5057
